Plate Name,Well Label,Sample Name,Peak Count,Total Conc. (ng/ul),Analysis Error,Region[75-1000] Size [BP],Region[75-1000] Conc. (ng/ul),Region[75-1000] Molarity (nmol/l)
HTS_215478_Plate_2_2026-02-27_13-24-43,C01,C1,0,0,,611.647279224115,0.14095512791265,
HTS_215478_Plate_2_2026-02-27_13-24-43,B01,B1,0,0,,278.522071972567,0.0762090274012815,0.718685670357972
HTS_215478_Plate_2_2026-02-27_13-24-43,A01,A1,0,0,,533.901180218322,0.0996746154677632,0.0357768068800517
HTS_215478_Plate_2_2026-02-27_13-24-43,A02,A2,0,0,,436.026639332637,0.0469645910011663,0.135240966805968
HTS_215478_Plate_2_2026-02-27_13-24-43,B02,B2,0,0,Lower Marker not found,,,
HTS_215478_Plate_2_2026-02-27_13-24-43,C02,C2,0,0,,490.168929925337,0.424166813285433,1.68417190022587
HTS_215478_Plate_2_2026-02-27_13-24-43,D01,D1,0,0,,404.519327017644,0,0
HTS_215478_Plate_2_2026-02-27_13-24-43,D02,D2,0,0,,498.540145854337,0,0
HTS_215478_Plate_2_2026-02-27_13-24-43,E01,E1,0,0,,373.438980446444,0,0
HTS_215478_Plate_2_2026-02-27_13-24-43,E02,E2,0,0,Lower Marker not found,,,
HTS_215478_Plate_2_2026-02-27_13-24-43,F01,F1,0,0,Lower Marker not found,,,
HTS_215478_Plate_2_2026-02-27_13-24-43,F02,F2,0,0,Lower Marker not found,,,
HTS_215478_Plate_2_2026-02-27_13-24-43,G01,G1,0,0,,412.177960143027,0.142969467863447,0.943484170841572
HTS_215478_Plate_2_2026-02-27_13-24-43,G02,G2,0,0,Lower Marker not found,,,
HTS_215478_Plate_2_2026-02-27_13-24-43,H01,H1,0,0,Upper Marker not found,248.775346451958,0.106438827642743,1.17622327507597
HTS_215478_Plate_2_2026-02-27_13-24-43,Ladder01,Ladder1,,,,,,
HTS_215478_Plate_2_2026-02-27_13-24-43,Ladder02,Ladder2,,,Lower Marker not found,,,
